start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1759968000,1760054400,2025-10-09T00:00:00+00:00,2025-10-10T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760054400,1760140800,2025-10-10T00:00:00+00:00,2025-10-11T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760140800,1760227200,2025-10-11T00:00:00+00:00,2025-10-12T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760227200,1760313600,2025-10-12T00:00:00+00:00,2025-10-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760313600,1760400000,2025-10-13T00:00:00+00:00,2025-10-14T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760400000,1760486400,2025-10-14T00:00:00+00:00,2025-10-15T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,2.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_1RtQYufrcJPn1eKl,gpt-4o-2024-08-06,False,incentivized-tier,221.0,848.0,0.0,221.0,221.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760400000,1760486400,2025-10-14T00:00:00+00:00,2025-10-15T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,10.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_1RtQYufrcJPn1eKl,gpt-4o-2024-11-20,False,incentivized-tier,208497.0,4608.0,75776.0,132721.0,132721.0,4608.0,75776.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_M220f4e8XEhFbDwYxEqs0JiC,8.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_55vj2yWUpYEr6T38,gpt-4o-2024-08-06,False,priority-tier,41962.0,3631.0,12544.0,29418.0,29418.0,3631.0,12544.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_M220f4e8XEhFbDwYxEqs0JiC,15.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_exCqjJ3ZwDnTBKj4,gpt-4o-2024-08-06,False,default,80244.0,11302.0,10496.0,69748.0,69748.0,11302.0,10496.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_M220f4e8XEhFbDwYxEqs0JiC,1.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_exCqjJ3ZwDnTBKj4,o3-mini-2025-01-31,False,default,1257.0,3083.0,0.0,1257.0,1257.0,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_M220f4e8XEhFbDwYxEqs0JiC,1.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_exCqjJ3ZwDnTBKj4,gpt-4o-2024-08-06,False,priority-tier,11583.0,832.0,0.0,11583.0,11583.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,25.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_1RtQYufrcJPn1eKl,gpt-4o-2024-08-06,False,incentivized-tier,3504.0,7878.0,0.0,3504.0,3504.0,7878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,4.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_1RtQYufrcJPn1eKl,gpt-4o-2024-11-20,False,incentivized-tier,58334.0,1327.0,28928.0,29406.0,29406.0,1327.0,28928.0,0.0,0.0,0.0,0.0,0.0,0.0
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,proj_M220f4e8XEhFbDwYxEqs0JiC,1.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_exCqjJ3ZwDnTBKj4,gpt-3.5-turbo-0125,False,default,19.0,6.0,0.0,19.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
