start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,input_tokens
1759968000,1760054400,2025-10-09T00:00:00+00:00,2025-10-10T00:00:00+00:00,,,,,,
1760054400,1760140800,2025-10-10T00:00:00+00:00,2025-10-11T00:00:00+00:00,,,,,,
1760140800,1760227200,2025-10-11T00:00:00+00:00,2025-10-12T00:00:00+00:00,,,,,,
1760227200,1760313600,2025-10-12T00:00:00+00:00,2025-10-13T00:00:00+00:00,,,,,,
1760313600,1760400000,2025-10-13T00:00:00+00:00,2025-10-14T00:00:00+00:00,,,,,,
1760400000,1760486400,2025-10-14T00:00:00+00:00,2025-10-15T00:00:00+00:00,,,,,,
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,,,,,,
1760572800,1760659200,2025-10-16T00:00:00+00:00,2025-10-17T00:00:00+00:00,,,,,,
1760659200,1760745600,2025-10-17T00:00:00+00:00,2025-10-18T00:00:00+00:00,,,,,,
1760745600,1760832000,2025-10-18T00:00:00+00:00,2025-10-19T00:00:00+00:00,,,,,,
1760832000,1760918400,2025-10-19T00:00:00+00:00,2025-10-20T00:00:00+00:00,,,,,,
1760918400,1761004800,2025-10-20T00:00:00+00:00,2025-10-21T00:00:00+00:00,,,,,,
1761004800,1761091200,2025-10-21T00:00:00+00:00,2025-10-22T00:00:00+00:00,,,,,,
1761091200,1761177600,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,,,,,,
1761177600,1761264000,2025-10-23T00:00:00+00:00,2025-10-24T00:00:00+00:00,,,,,,
1761264000,1761350400,2025-10-24T00:00:00+00:00,2025-10-25T00:00:00+00:00,,,,,,
1761350400,1761436800,2025-10-25T00:00:00+00:00,2025-10-26T00:00:00+00:00,,,,,,
1761436800,1761523200,2025-10-26T00:00:00+00:00,2025-10-27T00:00:00+00:00,,,,,,
1761523200,1761609600,2025-10-27T00:00:00+00:00,2025-10-28T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,128.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_0OqaDRlDqyE2CvpE,text-embedding-3-large,1545.0
1761609600,1761696000,2025-10-28T00:00:00+00:00,2025-10-29T00:00:00+00:00,,,,,,
1761696000,1761782400,2025-10-29T00:00:00+00:00,2025-10-30T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,11.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_0OqaDRlDqyE2CvpE,text-embedding-3-small,534.0
1761782400,1761868800,2025-10-30T00:00:00+00:00,2025-10-31T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,278.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_0OqaDRlDqyE2CvpE,text-embedding-3-small,6337.0
1761868800,1761955200,2025-10-31T00:00:00+00:00,2025-11-01T00:00:00+00:00,proj_eMLNEj0QoKBKNTK9fYKCDFLD,39.0,user-ubGiEfBzazynC1Dn2BaUoTsI,key_0OqaDRlDqyE2CvpE,text-embedding-3-small,839.0
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,,,,,,
1762041600,1762128000,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,,,,,,
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,,,,,,
1762214400,1762300800,2025-11-04T00:00:00+00:00,2025-11-05T00:00:00+00:00,,,,,,
1762300800,1762387200,2025-11-05T00:00:00+00:00,2025-11-06T00:00:00+00:00,,,,,,
1762387200,1762473600,2025-11-06T00:00:00+00:00,2025-11-07T00:00:00+00:00,,,,,,
1762473600,1762560000,2025-11-07T00:00:00+00:00,2025-11-08T00:00:00+00:00,,,,,,
1762560000,1762646400,2025-11-08T00:00:00+00:00,2025-11-09T00:00:00+00:00,,,,,,
